name,measurement_unit
Петрушка рубленая,г
Петрушка сушеная,г
Печень,г
Печенье,г
Печенье Oreo,г
Печенье Амаретти,г
Печенье бисквитное,г
Печенье галетное,шт.
Печенье «Дамские пальчики»,г
Печенье песочное,г
Печенье рассыпчатое,г
Печенье Савоярди,г
Печенье сахарное,г
Печенье сладкое,г
Печенье сухое,г
Печенье шоколадное,г
Печенье Юбилейное молочное,г
Пиво,мл
Пиво имбирное,мл
Пиво нефильтрованное,мл
Пиво светлое,мл
Пиво темное,мл
Пикша,шт.
Питы,г
Повидло,г
Подсолнечное масло,мл
Подсолнечные семечки,г
Полба,г
Полба недозрелая,г
Полента,г
Полента быстрого приготовления,г
Помело,г
Помидоры,г
Помидоры бурые,г
Помидоры вяленые,мл
Помидоры вяленые в масле,г
Помидоры желтые,г
Помидоры зеленые,г
Помидоры консервированные,г
Помидоры консервированные в собственном соку,г
Помидоры консервированные в собственном соку с базиликом,г
Помидоры протертые пассата,г
Помидоры соленые,г
Помидоры сушеные хлопьями,г
Помидоры черри,г
Помидоры черри желтые,г
Попкорн,г
Поросенок,г
Портвейн,мл
Портобелло,г
Портулак,г
Посыпка кондитерская,г
Почки,г
Приправа 4 перца,г
Приправа 5 специй (five spice),ч. л.
Приправа для баранины,ст. л.
Приправа для картофеля,г
Приправа для курицы,г
Приправа для макарон,г
Приправа для маринования свинины,г
Приправа для морепродуктов,г
Приправа для мяса,г
Приправа для паэльи,г
Приправа для пиццы,г
Приправа для плова,г
Приправа для птицы,г
Приправа для рыбы,г
Приправа для салатов,г
Приправа заатар,г
Приправа креольская,г
Приправа с сушеными грибами,г
Приправы,г
Прованские травы,г
Проволоне,г
Просекко,мл
Простокваша,мл
Протеин сывороточный,г
Прошутто,г
Пряники,г
Пряничные специи,г
Пряности,г
Псиллиум,г
Птитим,г
Пудинг,г
Пудинг ванильный,г
Пудинг ванильный инстант,г
Пудинг карамельный,г
Пшеница,г
Пшеничная крупа,г
Пшеничная мука,г
Пшеничная мука цельнозерновая,г
Пшеничные зародыши,г
Пшеничные отруби,г
Пшеничные ростки,г
Пшеничные хлопья,г
Пшенные хлопья,г
Пшено,г
Пыльца цветочная,г
Пюре,г
Радиккио,шт.
Разрыхлитель,г
Раки,г
Раковые шейки,г
Раковые шейки в рассоле,г
Рамбутан,г
Рапаны,г
Рапсовое масло,мл
Рассол,мл
Рассол от каперсов,мл
Рассол от оливок,мл
Растительное масло,мл
Растительное масло для жарки,мл
Растительное масло нерафинированное,мл
Растительное масло рафинированное,мл
Растительное молоко,мл
Ревень,г
Реган,веточка
Редис,г
Редька,г
Редька белая,г
Редька зеленая,г
Редька черная,г
Репа,г
Репа белая,г
Ржаная закваска,г
Ржаная закваска густая,г
Ржаная мука,г
Ржаные отруби,г
Ригатони,г
Рикотта,г
Рикотта твердая,г
Рис,г
Рис арборио,г
Рис басмати,г
Рис бурый,г
Рис бурый и дикий смесь,г
Рис вареный,г
Рис виола,г
Рис девзира,г
Рис дикий,г
Рис дикий и золотистый смесь,г
Рис длиннозерный,г
Рис длиннозерный золотистый,г
Рис для плова,г
Рис для пудинга,г
Рис для ризотто,г
Рис для суши,г
Рис жасминовый,г
Рис золотистый,г
Рис индика,г
Рис италика,г
Рис карнароли,г
Рис красный,г
Рис круглозерный,г
Рис кубанский,г
Рисовая бумага,г
Рисовая лапша,г
Рисовая мука,г
Рисовое вино,мл
Рисовые хлопья,г
Рисовые шарики воздушные,г
Рисовый крахмал,г
Рисовый уксус,мл
Рис пропаренный,г
Рис пропаренный и дикий смесь,г
Рис японика,г
Рожь,г
Розмарин,г
Розмарин сушеный,г
Розовая вода,мл
Розовые бутоны сушеные,г
Розовые лепестки,г
Розы,г
Рокфор,г
Ром,мл
Ромашка сушеная,г
Ромовый экстракт,ч. л.
Ром темный,мл
Ростбиф,г
Рукола,г
Рулька,г
Рыба,г
Рыба белая,г
Рыба белая филе,г
Рыба консервированная,г
Рыба копченая,г
Рыба копченая филе,г
Рыба красная,г
Рыба красная соленая,г
Рыба красная филе,г
Рыба-меч,г
Рыба морская,г
Рыба солнечник филе,г
Рыба-соль,г
Рыбное филе,г
Рыбные консервы,г
Рыбные кости,г
"рыбные обрезки, головы, плавники",г
Рыбный бульон,г
Рыбный соус,г
Рыбный соус Nam Pla,г
Рыбный соус тайский,г
Рыбный фарш,г
Рябина черноплодная,г
Рябчик,г
Ряженка,мл
Ряженка 4%,мл
Сайда,г
Сайда филе,г
Сайра,г
Сайра консервированная,г
Саке,мл
Салака,г
Салат,г
Салат айсберг,г
Салат китайский,г
Салат корн,г
Салат кочанный,г
Салат кучерявый,г
Салат листовой,г
Салатный микс,г
Салат романо,г
Салат фриссе,г
Сало,г
Сало копченое в перце,г
Сало копченое с мясными прослойками,г
Сало с мясными прослойками,г
Сальник,г
Сальса,г
Сальса верде,ч. л.
Салями,г
Салями итальянская,г
Сардельки,г
Сардельки копченые,г
Сардинки маленькие,г
Сардины,г
Сардины в масле,г
Сахар,г
Сахар ванильный,г
Сахар демерара,г
Сахар жемчужный,г
Сахар коричневый,г
Сахар коричневый крупнокристаллический,г
Сахар мусковадо,г
Сахарная пудра,г
Сахарная пудра апельсиновая,г
Сахарная пудра ванильная,г
Сахарные жемчужинки,г
Сахарные кондитерские украшения,г
Сахарный песок,г
Сахарный песок крупный,г
Сахарный песок мелкий,г
Сахарный сироп,г
Сахар пальмовый,г
Сахар-рафинад,г
Сахар-рафинад с корицей,г
Сахар тростниковый,г
Сванская соль,г
Свекла,г
Свекла вареная,г
Свекольная ботва,г
Свекольные листья,г
Свиная вырезка,г
Свиная голова,г
Свиная грудинка,г
Свиная корейка,г
Свиная корейка копченая,г
Свиная корейка на кости,г
Свиная лопатка варено-копченая,г
Свиная мякоть,г
Свиная пашина,г
Свиная печень,г
Свиная рулька,г
Свиная рулька варено-копченая,г
Свиная рулька копченая,г
Свиная шейка,кусок
Свинина,г
Свинина вареная,г
Свинина нежирная,г
Свинина с жирком,г
Свиное сердце,г
Свиное филе,г
Свиной подчеревок,г
Свиной фарш,г
Свиной язык,г
Свиные котлеты на косточке,шт.
Свиные легкие,г
Свиные ножки,г
Свиные отбивные,г
Свиные отбивные на косточке,г
Свиные ребра,г
Свиные уши,шт.
Свиные щечки,шт.
Свити,г
Сельдерей,г
Сельдерей зелень,г
Сельдерей корень,г
Сельдерей корень сушеный,г
Сельдерейная соль,г
Сельдерей семена,г
Сельдерей стебли,г
Сельдь,г
Сельдь слабосоленая,г
Сельдь соленая,шт.
Сельдь филе,г
Семга,г
Семга копченая,г
Семга свежая,г
Семга соленая,г
Семга филе на коже,г
Семечки,г
Семечки смесь,г
Семолина,г
Сервелат варено-копченый,г
Сибас,г
Сидр,мл
Сироп,мл
Сироп от консервированных груш,мл
Сироп от консервированных персиков,мл
Сироп топинамбура,мл
Скумбрия,г
Скумбрия свежая,г
Скумбрия филе,г
Скумбрия холодного копчения,г
Сливки,мл
Сливки 10-20%,мл
Сливки 15%,мл
Сливки 20%,мл
Сливки 33-35%,мл
Сливки жирные,мл
Сливки кондитерские,мл
Сливовая паста,г
Сливовое варенье,г
Сливовое вино,мл
Сливовый джем,г
Сливовый ликер,мл
Сливовый соус,г
Сливочное масло,г
Сливы,г
Сливы замороженные,г
Смалец,г
Смесь для кекса,г
Смесь для оладий,г
Смесь для хлеба 8 злаков,г
Сметана,г
Сметана 10%,г
Сметана 15%,г
Сметана 18%,г
Сметана 20%,г
Сметана 25%,г
Сметана 30%,г
Сметана 35%,г
Сметана жирная,г
Сметана нежирная,г
Сметана некислая,г
Смородина сушеная,г
Смородиновые листья,г
Сморчки сухие,г
Снежок,мл
Сныть,г
Сода,г
Соевая мука,г
Соевое масло,г
Соевое молоко,мл
Соевые ростки,г
Соевый соус,г
Сок,мл
Сок из красных апельсинов,мл
Сок мультивитаминный,мл
Сок юзу,мл
Солод,г
Солод жидкий,мл
Солодовый экстракт,г
Солод темный,г
Соломка,г
Соль,г
Соль гималайская,г
Соль крупного помола,г
Соль морская,г
Сом филе,г
Сосиски,г
Сосиски из куриного фарша,г
Сосиски копченые,г
Соус,г
Соус black bean,г
Соус sambal oelek,г
Соус барбекю,г
Соус краснодарский,г
Соус красный острый,г
Соус мирин,г
Соус наршараб,г
Соус острый,г
Соус песто,г
Соус сацебели,г
Соус табаско,капля
Соус терияки,г
Соус ткемали,г
Соус ткемали благородный,г
Соус ткемали ранний,г
Соус устричный,г
Соус чили,г
Соус чили сладкий,г
Соус экзотический,г
Соя,г
Спагетти,г
Спагетти № 3,г
Спагетти № 5,г
Спагетти лунги,г
Спаржа,г
Спаржа белая,г
Спаржа зеленая,г
Спаржа молодая,г
Спек,г
Спельта,г
Спельтовая (полбяная) мука,г
Специи,г
Спирт,мл
Спирулина порошок,г
Спред,г
Ставрида,г
Стейк семги,г
Стеклянная лапша,г
Страчателла,г
Судак,г
Судак филе,г
Судак филе на коже,г
Сулугуни,г
Сулугуни копченый,г
Сумах,г
Суповой набор,г
Сухари,г
Сухари белые,г
Сухари молотые,г
Сухари панировочные,г
Сухари ржаные,г
Сухарная крошка,г
Сухофрукты,г
Сухофрукты тропические,г
Сушки,г
Сыворотка,г
Сыр,г
Сыр tete de moine,г
Сыр Австрия блю,г
Сыр адыгейский,г
Сыр бри,г
Сыр буко,г
Сыр гауда,г
Сыр гойя,г
Сыр голландский,г
Сыр голубой,г
Сыр гравьера,г
Сыр джугас,г
Сыр домашний,г
Сыр дорблю,г
Сыр имеретинский,г
Сыр кефалотири,г
Сырки творожные,г
Сыр козий мягкий,г
Сыр козий твердый,г
Сыр колбасный,г
Сыр копченый,г
Сыр коттедж,г
Сыр Маскарпоне,г
Сыр мраморный,г
Сыр мягкий,г
Сыр овечий,г
Сыр панир,г
Сыр пеше миньон,г
Сыр плавленый,г
Сыр плавленый шоколадный,г
Сыр пластинками,г
Сыр полутвердый,г
Сыр провола,г
Сыр российский,г
Сыр скаморца,г
Сыр скаморца копченый,г
Сыр сливочный,г
Сыр с плесенью,г
Сыр с плесенью мягкий,г
Сыр твердый,г
Сыр филадельфия,г
Сыр фонтина,г
Сыр хаварти,г
Сыр швейцарский,г
Сычужный фермент,ч. л.
Таледжо,г
Тальолини,г
Тальятелле,г
Тальятелле-гнезда,г
Тамаринд,г
Тамариндовая паста,г
Тапиока,г
Тарталетки,г
Тартар,г
Тархун,г
Творог,г
Творог 18%,г
Творог 2%,г
Творог 5%,г
Творог 9%,г
Творог жирный,г
Творог зерненый,г
Творог обезжиренный,г
Творожная масса,г
Творожная паста,г
Творожный сыр,г
Творожный сыр соленый,г
Творожок клубничный,г
Текила,мл
Телятина,г
Телятина вареная,г
Телячий фарш,г
Телячьи отбивные на косточке,шт.
Телячьи шницели,г
Телячьи эскалопы,г
Телячья вырезка,г
Телячья печень,г
Телячья щека,г
Тесто бездрожжевое,г
Тесто готовое,г
Тесто для вонтонов,г
Тесто для пиццы,г
Тесто дрожжевое,г
Тесто катаифи,г
Тесто макаронное,г
Тесто макаронное для лазаньи,г
Тесто пельменное,г
Тесто песочное,г
Тесто пресное,г
Тесто пряничное,г
Тесто слоеное,г
Тесто слоеное бездрожжевое,г
Тесто слоеное дрожжевое,г
Тесто фило,г
Тилапия,г
Тилапия филе,г
Тильзитер,г
Тимьян,г
Тимьян лимонный,г
Тимьян свежий,г
Тимьян сушеный,г
Ткемали,г
Тмин,г
Тмин молотый,г
Томатная паста,г
Томатное пюре,г
Томатный концентрат,г
Томатный порошок,г
Томатный сок,мл
Томатный соус,г
Томатный соус итальянский,г
Томатный соус острый,г
Томатный соус с базиликом,г
Тоник,мл
Топинамбур,г
Топленое масло,г
Тортильи,шт.
Тортильони,г
Тофу,г
Травы ароматные,г
Травы пряные с перцем,г
Травы сухие,г
Треска,г
Треска печень,г
Треска филе,г
Трюфель,г
Трюфельная крошка,г
Трюфельное масло,г
Трюфель черный,г
Тунец,г
Тунец консервированный,г
Тунец филе,г
Тушенка,г
Тыква,г
Тыквенное масло,г
Тыквенное пюре,г
Тыквенные семечки,г
Тюлька свежая,г
Угорь,г
Угорь копченый,г
Угурт,г
Укроп,г
Укропное семя,г
Укроп свежий,г
Укроп сушеный,г
Уксус,мл
Уксус 9%,мл
Уксус из сидра,мл
Уксусная эссенция,мл
Уксус столовый,мл
Улитки,г
Улитки виноградные,г
Урюк,г
Устрицы,г
Утиная грудка,г
Утиная печень,г
Утиное филе,г
Утиные бедрышки,г
Утиные ножки,г
Утка,г
Утка печеная,г
Утка тушка,г
Уцхо-сунели,г
Фазан,г
Фарш (баранина и говядина),г
Фарш (свинина и курица),г
Фасоль,г
Фасоль белая,г
Фасоль белая консервированная,г
Фасоль белая лима,г
Фасоль зеленая стручковая,г
Фасоль кенийская,г
Фасоль кидни красная,г
Фасоль консервированная,г
Фасоль красная,г
Фасоль красная вареная,г
Фасоль красная консервированная,г
Фасоль молодая замороженная,г
Фасоль пинто,г
Фасоль спаржевая вареная,г
Фасоль стручковая,г
Фасоль стручковая замороженная,г
Фасоль стручковая консервированная,г
Фасоль черный глаз,г
Фейхоа,г
Фенхель,г
Фенхель семена,г
Фенхель семена молотые,г
Фестонате,г
Фета,г
Фетаки,г
Фетакса,г
Феттучине,г
Фиалки засахаренные,г
Фиалковый сироп,мл
Физалис,г
Филе красного окуня,г
Филе лосося,г
Филе палтуса,г
Финики,г
Финики без косточек,г
Финики иранские,г
Финики иранские без косточек,г
Фисташки,г
Фисташки очищенные,г
Фисташки очищенные несоленые,г
Фисташки рубленые,г
Фисташковая мука,г
Фисташковая паста,г
Фисташковое масло,г
Фокачча,г
Форель,г
Форель вареная,г
Форель горячего копчения,г
Форель озерная свежая,г
Форель слабосоленая,г
Форель стейки,г
Форель филе,г
Форель холодного копчения,г
Фрикадельки,г
Фрукт дракона,г
Фруктовый сироп,мл
Фруктовый сок,мл
Фруктовый сок без сахара,мл
Фруктоза,г
Фрукты,г
Фрукты консервированные,г
Фундук,г
Фундучная мука,г
Фунчоза,г
Халва,г
Халва ванильная,г
Халва подсолнечная,г
Халуми,г
Хамон,г
Хек,г
Хек филе,г
Херес,мл
Хересный уксус,мл
Хлеб,г
Хлеб 7 злаков,батон
Хлеб белый,г
Хлеб белый сухой,г
Хлеб бородинский,г
Хлеб датский ржаной,г
Хлеб для сэндвичей,г
Хлебная крошка,г
Хлеб ржаной,г
Хлеб серый,г
Хлеб с кунжутом,г
Хлеб цельнозерновой,г
Хлебцы пшенично-ржаные цельнозерновые,г
Хлопья 4 злака,г
Хлопья 5 злаков,г
Хлопья 7 злаков,ст. л.
Хлопья быстрого приготовления,г
Хлорид кальция,г
Хмели-сунели,г
Хмель,г
Хрен,г
Хрен протертый,г
Хрен со сливками,г
Хурма,г
Хурма спелая,г
Цесарка тушка,г
Цикорий,г
Цитроновые цукаты,г
Цитрусовые цукаты,г
Цитрусовый свежевыжатый сок,мл
Цукаты,г
Цукини,г
Цукини цветы,г
Цыплята,г
Цыплята-корнишоны,шт.
Чабер,г
Чабрец,г
Чабрец сушеный,г
Чай дарджилинг,г
Чай жасминовый,г
Чай зеленый,г
Чай копченый лапсанг сушонг,г
Чай красный,г
Чай ройбуш,г
Чай черный,г
Чай черный крупнолистовой,г
Чай черный со специями,г
Чай эрл грей,г
Чатни манго,г
Чеддер,г
Черемуха,г
Черемуховая мука,г
Черемша,г
Черешневый джем,г
Черешня,г
Черешня консервированная без косточек,г
Черная смородина,г
Черника,г
Черника замороженная,г
Чернила каракатицы,г
Черничный джем,г
Чернослив,г
Чернослив без косточек,г
Чернослив вяленый,г
Чернослив копченый без косточек,г
Черносмородиновое варенье,г
Черносмородиновый джем,г
Чеснок,г
Чеснок молодой,г
Чеснок сушеный,г
Чесночная соль,г
Чесночное масло,мл
Чесночный порошок,г
Чечевица,г
Чечевица вареная,г
Чечевица зеленая,г
Чечевица красная,г
Чечил спагетти,г
Чиабатта,г
Чиа семена,г
Чипотле молотый,г
Чипсы,г
Чоризо,г
Шалфей,г
Шалфей свежий,г
Шалфей сушеный,г
Шампанское,г
Шампанское советское,мл
Шампанское сухое,мл
Шампиньоны,г
Шампиньоны замороженные,г
Шампиньоны консервированные,г
Шампиньоны маринованные,г
Шампиньоны свежие,г
Шафран,г
Шафран имеретинский,г
Шафран молотый,ч. л.
Шафран нити,шт.
Шелковица,г
Шелковица сушеная,г
Шиповник,г
Шиповниковый сироп,мл
Шнапс,мл
Шнитт-лук,г
Шоколад,г
Шоколад белый,г
Шоколад горький с апельсиновой цедрой,г
Шоколад молочный,г
Шоколад мятный,г
Шоколадная паста,г
Шоколадная стружка,г
Шоколадное масло,г
Шоколадно-ореховая паста,г
Шоколадные горошины,г
Шоколадные капли,г
Шоколадные капли белые,г
Шоколадные конфеты,г
Шоколадные хлопья,г
Шоколадные шарики из готовых завтраков,г
Шоколадный ликер,мл
Шоколадный сироп,мл
Шоколадный соус,г
Шоколад полусладкий,г
Шоколад с орехами,г
Шоколад черный горький,г
Шоколад черный горький 70%,г
Шоколад черный горький 75%,ч. л.
Шоколад черный горький 85%,г
Шортенинг,г
Шпик,г
Шпик копченый,г
Шпинат,г
Шпинат замороженный,г
Шпинат молодой,г
Шпинат свежий,г
Шпроты,г
Шпроты в масле,г
Шрот,г
Щавель замороженный,г
Щавель свежий,г
Щука,г
Щука филе,г
Эгг-ног,г
Эдам,г
Эль,мл
Эмменталь,г
Эскалоп,г
Эстрагон,г
Эстрагон сушеный,г
Яблоки,г
Яблоки антоновка,г
Яблоки гала,г
Яблоки голден,г
Яблоки гренни смит,г
Яблоки зеленые,г
Яблоки красные,г
Яблоки моченые,г
Яблоки нетвердых сортов,г
Яблоки сладкие,г
Яблоки сушеные,г
Яблочная эссенция,г
Яблочное варенье,г
Яблочное повидло,г
Яблочное пюре,г
Яблочные чипсы,г
Яблочный джем,г
Яблочный сироп,мл
Яблочный сок,мл
Яблочный соус,г
Яблочный уксус,мл
Ягнятина,г
Ягнятина кострец,г
Ягнятина фарш,г
Ягнячьи отбивные на косточке,г
Ягнячья голень нарубленная,г
Ягнячья корейка,г
Ягодное варенье,г
Ягодное желе,г
Ягодный сироп,мл
Ягодный сок,мл
Ягодный соус кислый,г
Ягоды,г
Ягоды вяленые,г
Ягоды замороженные,г
Ягоды лесные,г
Ягоды лесные замороженные,г
Яичные белки,г
Яичные желтки,г
Яичные желтки вареные,шт.
Яичные желтки крупные,г
Яичный меланж,г
Яичный порошок,г
Яйца куриные,г
Яйца куриные крупные,г
Яйца перепелиные,г
Японская крошка панко,г
Ячменные хлопья,г
Ячмень,г
Ячневая крупа,г
